Period,TE,HU,RF,WS,PD,ABJ,LAG0,LAG1,LAG2,LAG3,LAG4,LAG5,LAG6,LAG7,LAG8,LAG9,LAG10,LAG11,LAG12,OS
Jan-10,26.02,84.74,10.52,0.84,792.86,86.96,1,4,6,4,4,1,4,3,3,5,2,1,4,0
Feb-10,26.32,84.64,12.04,0.86,793.45,86.72,3,1,4,6,4,4,1,4,3,3,5,2,1,1
Mar-10,26.39,85,8.65,0.55,794.04,86.5,0,3,1,4,6,4,4,1,4,3,3,5,2,0
Apr-10,26.29,86.17,10.37,0.3,794.63,86.28,1,0,3,1,4,6,4,4,1,4,3,3,5,0
May-10,26.57,85.61,7.35,0.58,795.22,86.08,0,1,0,3,1,4,6,4,4,1,4,3,3,0
Jun-10,25.62,84.1,9.23,1.59,795.82,85.9,0,0,1,0,3,1,4,6,4,4,1,4,3,0
Jul-10,25.35,83.52,2.16,1.77,796.41,85.74,0,0,0,1,0,3,1,4,6,4,4,1,4,0
Aug-10,25.35,81.71,3.94,1.68,797,85.61,0,0,0,0,1,0,3,1,4,6,4,4,1,0
Sep-10,25.73,83.93,9.4,1.37,797.6,85.51,0,0,0,0,0,1,0,3,1,4,6,4,4,0
Oct-10,26.19,82.03,12.13,1.71,798.19,85.45,0,0,0,0,0,0,1,0,3,1,4,6,4,0
Nov-10,26,84.53,17.53,1.23,798.79,85.43,0,0,0,0,0,0,0,1,0,3,1,4,6,0
Dec-10,25.83,83.39,8.45,1.77,799.38,85.47,0,0,0,0,0,0,0,0,1,0,3,1,4,0
Jan-11,25.89,83.13,7.42,2.48,799.97,85.58,1,0,0,0,0,0,0,0,0,1,0,3,1,0
Feb-11,25.7,82.71,6.5,1.57,800.56,85.79,3,1,0,0,0,0,0,0,0,0,1,0,3,1
Mar-11,25.51,85.26,4.45,1.16,801.15,86.08,1,3,1,0,0,0,0,0,0,0,0,1,0,0
Apr-11,25.63,85.4,10.6,1.37,801.75,86.42,1,1,3,1,0,0,0,0,0,0,0,0,1,0
May-11,25.74,82.87,4.13,1.19,802.34,86.8,2,1,1,3,1,0,0,0,0,0,0,0,0,1
Jun-11,24.13,79.73,0.73,1.87,802.93,87.17,0,2,1,1,3,1,0,0,0,0,0,0,0,0
Jul-11,23.94,78.45,0.03,1.71,803.52,87.53,1,0,2,1,1,3,1,0,0,0,0,0,0,0
Aug-11,23.86,75.13,0,2.06,804.12,87.85,0,1,0,2,1,1,3,1,0,0,0,0,0,0
Sep-11,25.14,74.77,0,2.17,804.71,88.1,0,0,1,0,2,1,1,3,1,0,0,0,0,0
Oct-11,26.3,74.55,5.9,1.52,805.31,88.27,0,0,0,1,0,2,1,1,3,1,0,0,0,0
Nov-11,26,84.13,8.37,0.83,805.9,88.32,0,0,0,0,1,0,2,1,1,3,1,0,0,0
Dec-11,26.04,84.81,10.94,1.03,806.5,88.24,0,0,0,0,0,1,0,2,1,1,3,1,0,0
Jan-12,25.47,85.87,13.45,1.42,807.09,89.22,1,0,0,0,0,0,1,0,2,1,1,3,1,0
Feb-12,25.79,84.83,15.31,0.93,807.68,90.2,2,1,0,0,0,0,0,1,0,2,1,1,3,1
Mar-12,25.7,82.68,9.61,1.03,808.27,91.18,1,2,1,0,0,0,0,0,1,0,2,1,1,0
Apr-12,25.82,82.9,5.83,1.07,808.86,92.16,1,1,2,1,0,0,0,0,0,1,0,2,1,0
